LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	One
Time_Pref	Absolute
Operator	berg group
Description	1st Column: Elasped Time (s), 2nd Column:  Balance Signal (V), 3rd Column:  Barrier Signal (V), 4th Column:  Molecular Area (A**2/molecule),5th Column:  Surface Pressure (mN/m)
Date	2016/04/12
Time	15:19:07.4375
***End_of_Header***	
	
Channels	4				
Samples	1	1	1	1	
Date	2016/04/12	2016/04/12	2016/04/12	2016/04/12	
Time	15:43:09.796875	15:43:09.796875	15:43:09.796875	15:43:09.796875	
X_Dimension	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	1.000000	1.000000	1.000000	1.000000	
***End_of_Header***					
X_Value	Untitled	Untitled 1	Untitled 2	Untitled 3	Comment
0.000000	1.860023	0.199398	59.610250	-0.490364	0
0.562500	1.844341	0.198635	59.632788	-0.107248	0
1.031250	1.819516	0.199017	59.621519	0.499223	0
1.515625	1.836595	0.198890	59.625276	0.081983	0
2.000000	1.854372	0.198890	59.625276	-0.352319	0
2.546875	1.843706	0.198763	59.629032	-0.091738	0
2.968750	1.829865	0.197619	59.662839	0.246397	0
3.781250	1.832151	0.197746	59.659082	0.190558	0
4.234375	1.865801	0.197492	59.666595	-0.631512	0
5.171875	1.837420	0.200160	59.587712	0.061819	0
5.656250	1.863007	0.197873	59.655326	-0.563265	0
6.125000	1.845484	0.197238	59.674108	-0.135168	0
6.609375	1.856531	0.199652	59.602738	-0.405055	1
7.093750	1.868404	0.200160	59.587712	-0.695106	0
7.578125	1.825230	0.202828	59.508830	0.359626	0
8.046875	1.859960	0.203718	59.482535	-0.488813	0
8.531250	1.846817	0.206513	59.399896	-0.167740	0
9.000000	1.830246	0.206513	59.399896	0.237091	0
9.546875	1.864848	0.208673	59.336039	-0.608246	0
9.953125	1.827833	0.212485	59.223349	0.296032	0
10.437500	1.832468	0.212993	59.208324	0.182803	0
10.906250	1.861293	0.215026	59.148223	-0.521386	0
11.375000	1.839262	0.214899	59.151979	0.016838	0
11.921875	1.835389	0.217313	59.080609	0.111453	0
12.375000	1.837484	0.218202	59.054315	0.060268	0
12.828125	1.824976	0.220617	58.982945	0.365830	0
13.328125	1.864975	0.223158	58.907818	-0.611348	0
13.796875	1.863769	0.225826	58.828936	-0.581878	0
14.250000	1.830817	0.224047	58.881524	0.223131	0
14.734375	1.823262	0.228240	58.757566	0.407709	0
15.203125	1.850626	0.229765	58.712490	-0.260805	0
15.687500	1.871324	0.230654	58.686195	-0.766456	0
16.218750	1.844023	0.233068	58.614825	-0.099493	0
16.703125	1.861229	0.234847	58.562237	-0.519835	0
17.125000	1.833484	0.233831	58.592287	0.157986	0
17.609375	1.860531	0.237896	58.472085	-0.502773	0
18.093750	1.868531	0.240184	58.404471	-0.698209	0
18.625000	1.836214	0.241200	58.374421	0.091289	0
19.109375	1.831135	0.241708	58.359396	0.215376	0
19.593750	1.864467	0.244631	58.273000	-0.598940	0
20.062500	1.859452	0.246536	58.216655	-0.476405	0
20.578125	1.842817	0.246791	58.209143	-0.070023	0
21.000000	1.831643	0.249713	58.122747	0.202967	0
21.484375	1.834627	0.252127	58.051377	0.130066	0
21.937500	1.824786	0.252127	58.051377	0.370483	0
22.406250	1.841865	0.254668	57.976251	-0.046756	0
22.968750	1.868785	0.254668	57.976251	-0.704413	0
23.453125	1.854118	0.257591	57.889856	-0.346114	0
23.937500	1.836468	0.260132	57.814729	0.085085	0
24.421875	1.835960	0.261148	57.784679	0.097494	0
24.859375	1.840404	0.261911	57.762141	-0.011082	0
25.312500	1.868912	0.264706	57.679502	-0.707515	0
25.781250	1.857547	0.266739	57.619400	-0.429872	0
26.265625	1.846690	0.267120	57.608131	-0.164638	0
26.750000	1.824722	0.271313	57.484173	0.372034	0
27.281250	1.857991	0.271567	57.476660	-0.440730	0
27.703125	1.868785	0.272583	57.446610	-0.704413	0
28.203125	1.865991	0.274489	57.390265	-0.636166	0
28.640625	1.854245	0.275125	57.371483	-0.349216	0
29.125000	1.871451	0.277793	57.292601	-0.769558	0
29.671875	1.833801	0.279953	57.228743	0.150230	0
30.140625	1.854563	0.279572	57.240012	-0.356972	0
30.625000	1.862309	0.282113	57.164886	-0.546203	0
31.109375	1.875134	0.285162	57.074734	-0.859521	0
31.640625	1.854055	0.286052	57.048440	-0.344563	0
32.062500	1.867959	0.286179	57.044683	-0.684249	0
32.546875	1.869547	0.289101	56.958288	-0.723026	0
33.015625	1.856087	0.292659	56.853111	-0.394198	0
33.500000	1.865229	0.292913	56.845598	-0.617553	0
34.031250	1.847515	0.294056	56.811792	-0.184802	0
34.515625	1.868531	0.296470	56.740421	-0.698209	0
34.984375	1.867959	0.297741	56.702858	-0.684249	0
35.437500	1.872023	0.300663	56.616463	-0.783518	0
35.828125	1.869102	0.302442	56.563874	-0.712168	0
36.343750	1.842944	0.302061	56.575143	-0.073125	0
36.812500	1.835643	0.304983	56.488748	0.105249	0
37.265625	1.831325	0.306127	56.454941	0.210722	0
37.750000	1.841992	0.308287	56.391084	-0.049859	0
38.281250	1.865229	0.310193	56.334739	-0.617553	0
38.703125	1.859198	0.311082	56.308445	-0.470200	0
39.187500	1.842436	0.314131	56.218293	-0.060716	0
39.671875	1.839325	0.312734	56.259612	0.015287	0
40.125000	1.850436	0.315910	56.165704	-0.256152	0
40.671875	1.822627	0.318324	56.094334	0.423220	0
